Meteorological forcing data for the Large Basin Runoff Model.      
eri, 02,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-9.3041,-4.6092,0.1098 
2010-01-02,-14.6065,-7.9868,0.1576 
2010-01-03,-17.4006,-7.0131,0.0481 
2010-01-04,-9.5214,-7.0812,0.9059 
2010-01-05,-10.0301,-5.1935,0.5329 
2010-01-06,-5.7380,-3.1629,0.1915 
2010-01-07,-6.4431,-3.5437,1.4056 
2010-01-08,-7.3380,-4.9519,1.6176 
2010-01-09,-15.0117,-7.1684,0.0675 
2010-01-10,-11.2957,-5.7646,0.0397 
2010-01-11,-12.5471,-5.6528,1.6095 
2010-01-12,-8.2571,-5.6005,0.3042 
2010-01-13,-8.7939,-1.4372,0.0139 
2010-01-14,-3.7813,2.4894,0.0123 
2010-01-15,-1.0128,1.9508,0.1885 
2010-01-16,-5.0969,-0.1019,0.0303 
2010-01-17,-4.9595,0.3727,0.0012 
2010-01-18,-6.3833,0.0779,0.0079 
2010-01-19,-3.8801,-0.5344,0.2087 
2010-01-20,-7.5162,-1.4501,0.0775 
2010-01-21,-7.5327,-0.0876,0.0110 
2010-01-22,-1.6433,0.6158,0.1162 
2010-01-23,-3.3862,1.1344,0.0397 
2010-01-24,1.1310,7.5988,6.5864 
2010-01-25,-0.8695,7.4640,1.5579 
2010-01-26,-4.7184,-0.2037,0.5506 
2010-01-27,-7.8005,-2.3037,0.1525 
2010-01-28,-11.2170,-4.7188,0.4746 
2010-01-29,-16.1589,-9.2089,0.0409 
2010-01-30,-12.1420,-7.6611,0.0303 
2010-01-31,-11.9651,-4.3427,0.1831 
2010-02-01,-10.7098,-4.3852,0.1392 
2010-02-02,-6.0053,-2.2806,1.0058 
2010-02-03,-4.2144,-0.1181,0.8043 
2010-02-04,-6.7200,-0.1713,0.0514 
2010-02-05,-3.7826,-0.5737,0.0545 
2010-02-06,-8.3289,-1.4447,0.1348 
2010-02-07,-8.6225,-3.4694,0.1721 
2010-02-08,-7.0884,-1.7603,0.0026 
2010-02-09,-7.2797,-2.7603,7.6101 
2010-02-10,-4.9797,-3.9854,8.9556 
2010-02-11,-7.7966,-3.3006,0.1551 
2010-02-12,-8.7708,-3.1343,0.2027 
2010-02-13,-8.6322,-3.5465,0.2983 
2010-02-14,-7.0211,-1.1840,0.0953 
