Meteorological forcing data for the Large Basin Runoff Model.      
stc, 03,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-7.9113,-4.6380,0.1786 
2010-01-02,-13.9836,-8.0431,0.2147 
2010-01-03,-16.7788,-7.7458,0.2088 
2010-01-04,-9.1020,-6.8580,1.2312 
2010-01-05,-10.0392,-5.7267,0.4681 
2010-01-06,-6.1288,-3.7587,0.1360 
2010-01-07,-6.2684,-3.4990,1.8115 
2010-01-08,-6.5963,-4.4350,3.7544 
2010-01-09,-11.6378,-5.8469,0.0993 
2010-01-10,-12.0910,-5.1350,0.0274 
2010-01-11,-11.8487,-6.1328,1.7024 
2010-01-12,-7.5711,-4.4210,0.4876 
2010-01-13,-9.4013,-1.5725,0.0049 
2010-01-14,-4.1182,1.9250,0.0089 
2010-01-15,-0.6964,1.8435,0.1296 
2010-01-16,-5.4361,-9.4618e-04,0.0176 
2010-01-17,-5.3719,0.6701,5.9954e-05 
2010-01-18,-5.9022,0.1754,0.0049 
2010-01-19,-3.6978,-0.2885,0.2136 
2010-01-20,-7.0603,-1.4867,0.0886 
2010-01-21,-8.8198,-0.0318,0.0103 
2010-01-22,-2.7268,1.2728,0.0689 
2010-01-23,-3.9330,1.2870,0.1037 
2010-01-24,0.9903,6.4648,6.2233 
2010-01-25,-0.3986,6.8111,3.5213 
2010-01-26,-4.0651,0.1039,1.0958 
2010-01-27,-7.1814,-1.4374,0.1736 
2010-01-28,-11.4278,-4.7046,0.4429 
2010-01-29,-16.0408,-9.2823,0.0087 
2010-01-30,-12.3426,-8.2854,0.0677 
2010-01-31,-12.0728,-4.0990,0.1367 
2010-02-01,-11.7965,-4.3347,0.0964 
2010-02-02,-6.0358,-2.7403,1.3001 
2010-02-03,-4.6323,-0.6542,1.0825 
2010-02-04,-6.6981,-0.0575,0.0098 
2010-02-05,-3.3963,-0.2403,0.0036 
2010-02-06,-8.5929,-1.1830,0.0221 
2010-02-07,-7.8062,-3.0335,0.3687 
