Meteorological forcing data for the Large Basin Runoff Model.      
eri, 06,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-9.2961,-5.6233,0.4428 
2010-01-02,-13.3759,-7.7081,0.6701 
2010-01-03,-18.4453,-7.6125,0.0815 
2010-01-04,-7.8749,-5.7792,2.0898 
2010-01-05,-7.6568,-4.1856,1.1104 
2010-01-06,-6.3923,-3.9953,0.5735 
2010-01-07,-9.0436,-5.3939,3.8677 
2010-01-08,-8.7811,-5.2863,1.3868 
2010-01-09,-13.7350,-7.4986,0.1507 
2010-01-10,-13.5074,-9.7720,0.0628 
2010-01-11,-12.6042,-5.3713,1.1937 
2010-01-12,-8.9842,-5.4493,0.1759 
2010-01-13,-9.1426,-2.8324,0.0125 
2010-01-14,-4.6071,1.0762,0.0079 
2010-01-15,0.2736,2.0041,0.1204 
2010-01-16,-4.2016,1.0931,0.0395 
2010-01-17,-1.6681,0.9485,0.0457 
2010-01-18,-5.7253,-0.4243,0.0404 
2010-01-19,-3.6053,-0.8669,0.0595 
2010-01-20,-6.7590,-1.3420,0.0646 
2010-01-21,-5.7899,1.4931,0.3343 
2010-01-22,0.3636,2.5185,1.1255 
2010-01-23,-1.5063,6.2314,0.0914 
2010-01-24,4.6644,10.3576,9.8548 
2010-01-25,-1.5876,8.6967,2.7364 
2010-01-26,-6.6095,-0.5277,0.7472 
2010-01-27,-11.6670,-4.2899,0.1093 
2010-01-28,-9.9048,-2.1154,0.9426 
2010-01-29,-15.2137,-9.2631,0.0657 
2010-01-30,-12.4830,-6.9928,0.0240 
2010-01-31,-12.0031,-4.5546,0.0076 
2010-02-01,-8.4457,-2.8670,0.0459 
2010-02-02,-4.7961,-0.2645,0.7059 
2010-02-03,-2.7405,-0.2066,0.4091 
2010-02-04,-5.3626,0.8751,0.0192 
2010-02-05,-2.8986,0.6595,1.2856 
2010-02-06,-6.6507,-1.0146,4.4267 
2010-02-07,-10.1551,-4.9899,0.0701 
2010-02-08,-8.3954,-5.1727,0.0204 
2010-02-09,-7.4612,-2.9489,8.7846 
2010-02-10,-6.3514,-3.2115,5.5454 
2010-02-11,-7.5779,-3.7739,0.1229 
2010-02-12,-7.5690,-4.5743,0.1861 
2010-02-13,-9.6371,-4.2393,0.1416 
2010-02-14,-6.9173,-4.8881,0.1042 
2010-02-15,-9.0371,-3.6201,0.1736 
2010-02-16,-6.6578,-1.9230,1.7444 
2010-02-17,-5.2221,-0.8008,0.6119 
2010-02-18,-3.9319,0.0245,0.1230 
2010-02-19,-6.0886,-0.3407,0.0154 
2010-02-20,-4.4601,-0.0352,0.0780 
2010-02-21,-0.6190,0.6715,0.2905 
2010-02-22,-0.2658,1.3715,11.1129 
2010-02-23,-3.9016,-0.5060,0.1954 
2010-02-24,-4.2994,-1.0223,1.0133 
2010-02-25,-5.9537,-3.0764,0.5505 
2010-02-26,-5.2518,-2.5629,3.1063 
2010-02-27,-3.6279,-0.0749,2.0529 
2010-02-28,-2.7971,0.5889,0.4156 
2010-03-01,-3.9666,0.2940,0.0691 
2010-03-02,-6.2861,-0.2225,0.0556 
2010-03-03,-6.2231,0.2260,0.0244 
2010-03-04,-7.3395,0.7932,0.0013 
2010-03-05,-5.6548,0.7365,0.0057 
2010-03-06,-1.9708,3.0297,0.0018 
2010-03-07,-0.1548,7.2105,0.0182 
2010-03-08,2.4379,8.2201,0.1630 
2010-03-09,4.4519,11.7960,0.0081 
2010-03-10,7.7797,17.4482,0.7679 
2010-03-11,7.7938,16.8343,1.3691 
2010-03-12,11.5426,16.0161,3.7708 
2010-03-13,5.3619,14.8939,14.3309 
2010-03-14,2.1096,4.9204,3.0161 
2010-03-15,3.2837,9.8524,0.2770 
2010-03-16,2.9420,13.3995,0.0023 
2010-03-17,7.3633,14.4334,9.7247e-06 
2010-03-18,6.5598,16.0744,2.0481e-04 
2010-03-19,5.9620,16.8676,2.1452e-04 
2010-03-20,5.9313,16.1550,0.0447 
2010-03-21,-1.1922,9.9466,0.1612 
2010-03-22,2.7439,8.3544,5.9282 
2010-03-23,2.1582,11.8647,0.5919 
2010-03-24,4.2092,12.2529,4.0141e-05 
2010-03-25,2.1616,11.9921,10.9624 
2010-03-26,-6.0128,1.3783,0.3734 
2010-03-27,-5.2870,9.7795,6.5279e-04 
2010-03-28,6.5363,9.4839,10.8840 
2010-03-29,1.0703,9.1623,1.7858 
2010-03-30,0.2948,11.9669,0.0029 
2010-03-31,7.0629,20.8044,1.4422e-06 
2010-04-01,12.8130,25.6074,1.6936e-06 
2010-04-02,14.5168,26.2551,0.0000 
2010-04-03,12.0050,25.2800,0.4293 
2010-04-04,9.0951,21.3112,0.0084 
2010-04-05,13.2625,22.5239,0.8122 
2010-04-06,16.2547,26.3888,0.1905 
2010-04-07,18.0812,25.8785,13.0588 
2010-04-08,4.6206,18.0572,22.7935 
2010-04-09,-1.3128,7.3122,0.0483 
2010-04-10,2.7358,18.9517,4.3906e-05 
2010-04-11,11.0584,18.6116,0.0064 
2010-04-12,6.4214,17.4023,0.0364 
2010-04-13,7.3914,16.4347,0.2038 
2010-04-14,6.1205,21.1985,2.7182e-05 
2010-04-15,14.5557,26.1876,8.4105e-06 
2010-04-16,15.5038,25.3715,1.0302 
2010-04-17,3.2317,14.6335,0.0218 
2010-04-18,0.2715,12.8579,0.0019 
2010-04-19,5.2313,15.2895,0.0014 
2010-04-20,8.4616,16.0379,1.3461e-06 
2010-04-21,10.9470,19.1008,0.0126 
2010-04-22,4.3072,18.3007,0.0155 
2010-04-23,6.2488,18.6745,0.1939 
2010-04-24,10.7239,21.3903,8.8897 
