Meteorological forcing data for the Large Basin Runoff Model.      
stc, 06,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-6.5380,-3.8589,3.5541 
2010-01-02,-11.7572,-6.1353,3.3931 
2010-01-03,-12.7761,-7.1375,2.5728 
2010-01-04,-9.2613,-6.9526,1.0096 
2010-01-05,-8.3525,-4.4842,1.9683 
2010-01-06,-7.0326,-4.1133,0.3358 
2010-01-07,-6.1830,-3.2061,1.5254 
2010-01-08,-8.6059,-4.3359,6.4156 
2010-01-09,-12.0987,-7.5290,0.1083 
2010-01-10,-11.6684,-6.2942,0.0263 
2010-01-11,-10.6699,-6.9263,1.7078 
2010-01-12,-11.8194,-5.9120,0.3278 
2010-01-13,-9.3202,-2.9475,0.0068 
2010-01-14,-4.4046,0.4571,0.0011 
2010-01-15,-0.8784,1.5431,0.1389 
2010-01-16,-5.2924,-1.0799,0.0143 
2010-01-17,-3.6009,1.6238,0.0068 
2010-01-18,-5.0238,0.5742,0.0079 
2010-01-19,-2.9708,-0.4412,0.4771 
2010-01-20,-6.4520,-1.7235,0.5063 
2010-01-21,-8.9255,-0.4211,8.2246e-04 
2010-01-22,-2.8361,0.6781,0.0067 
2010-01-23,-4.0251,1.3799,0.0838 
2010-01-24,0.7982,4.8528,7.1878 
2010-01-25,-0.1482,5.8931,9.3913 
2010-01-26,-3.9594,-0.3385,2.4044 
2010-01-27,-7.9876,-1.3263,1.8622 
2010-01-28,-10.6330,-5.1290,3.3249 
2010-01-29,-12.9893,-9.2326,1.5210 
2010-01-30,-15.8832,-9.7476,0.0760 
2010-01-31,-13.1213,-5.2619,1.3814 
2010-02-01,-10.4368,-5.1587,1.0727 
2010-02-02,-6.8172,-3.6809,1.0659 
2010-02-03,-5.6263,-1.8307,1.8698 
2010-02-04,-6.7250,-1.4248,0.1002 
2010-02-05,-4.5148,-0.6495,0.0029 
2010-02-06,-10.9165,-2.8444,0.0058 
2010-02-07,-12.7201,-4.4661,0.0119 
2010-02-08,-9.2719,-2.8586,0.0059 
2010-02-09,-9.6404,-4.2970,2.6752 
2010-02-10,-4.6003,-3.0335,8.2849 
2010-02-11,-8.4102,-4.1370,0.6173 
2010-02-12,-8.1002,-4.0471,0.1369 
2010-02-13,-7.9350,-4.3165,0.3689 
2010-02-14,-6.6210,-2.6228,0.6091 
2010-02-15,-6.6093,-2.9604,0.5368 
2010-02-16,-6.8795,-2.5613,0.9500 
2010-02-17,-5.2861,-1.7145,0.3263 
2010-02-18,-3.6739,-1.2022,0.0438 
2010-02-19,-4.7451,-0.9333,0.0209 
2010-02-20,-6.0333,-0.3666,0.0054 
2010-02-21,-3.5351,1.6148,4.8165e-04 
2010-02-22,-4.0454,0.5862,13.7457 
2010-02-23,-2.7417,-0.6091,1.6521 
2010-02-24,-3.9487,-0.5682,0.1549 
2010-02-25,-5.7743,-1.7693,0.6626 
2010-02-26,-6.0378,0.1788,4.5721 
2010-02-27,-3.0158,0.3885,2.8397 
2010-02-28,-3.9933,1.5424,0.3609 
2010-03-01,-4.5264,0.0886,0.0052 
2010-03-02,-6.2287,0.2388,0.0012 
2010-03-03,-6.0099,1.8390,0.0019 
2010-03-04,-7.0391,0.5489,3.8598e-05 
2010-03-05,-6.7244,1.0844,3.5288e-05 
2010-03-06,-5.7179,1.4524,2.4117e-05 
2010-03-07,-3.1756,2.7635,5.3442e-05 
2010-03-08,-0.9633,6.6959,7.9249e-05 
2010-03-09,3.6593,9.8893,0.0048 
2010-03-10,3.9931,10.3219,0.0678 
2010-03-11,3.6051,13.0469,0.0072 
2010-03-12,5.9849,10.7935,1.3058 
2010-03-13,2.3726,8.7974,11.8238 
2010-03-14,2.2522,5.0220,8.2910 
2010-03-15,2.5565,10.8940,0.1336 
2010-03-16,2.7444,13.6274,2.2916e-04 
2010-03-17,5.0839,13.7503,1.6927e-04 
2010-03-18,4.2949,15.3105,5.1771e-05 
2010-03-19,5.2674,16.0528,1.0005e-05 
2010-03-20,0.7082,15.3807,0.1070 
2010-03-21,-1.7652,8.7872,0.1782 
2010-03-22,0.2907,7.5028,3.8942 
2010-03-23,3.3404,6.6952,0.6813 
2010-03-24,-0.2802,10.4074,0.0086 
2010-03-25,-0.4209,8.5868,1.5733 
2010-03-26,-8.2243,0.9748,0.0021 
2010-03-27,-4.5614,4.7955,0.0014 
2010-03-28,2.9513,5.4872,7.1718 
2010-03-29,2.3547,9.2828,3.7172 
2010-03-30,-0.8825,11.0786,0.0153 
2010-03-31,4.8739,14.2430,0.0115 
2010-04-01,9.1821,21.0282,0.0076 
2010-04-02,12.6062,23.9779,4.7617e-05 
2010-04-03,14.7019,23.7121,0.1155 
2010-04-04,7.2544,16.5109,0.2896 
2010-04-05,9.6305,20.7049,0.3048 
2010-04-06,10.3879,22.1094,15.8678 
2010-04-07,15.1901,22.0004,8.7202 
2010-04-08,8.4680,14.6720,27.9391 
2010-04-09,-1.8054,7.4394,0.1760 
2010-04-10,-0.4785,13.8656,0.0189 
2010-04-11,5.6664,14.5884,0.0892 
2010-04-12,6.0171,13.6796,1.3862e-06 
2010-04-13,6.3895,12.7583,0.8740 
2010-04-14,6.2855,15.0211,0.0157 
2010-04-15,10.8024,25.3773,0.0058 
2010-04-16,13.0639,24.2239,0.1492 
2010-04-17,1.9544,10.5673,1.2162 
2010-04-18,2.8097,10.3275,0.2058 
2010-04-19,2.8327,12.8676,5.7160e-05 
2010-04-20,6.1328,14.8580,7.1839e-05 
2010-04-21,9.6456,16.2255,0.0097 
2010-04-22,0.4875,12.5989,0.0057 
2010-04-23,1.7935,13.5687,9.3202e-04 
2010-04-24,7.7475,15.9386,0.3296 
2010-04-25,8.8316,13.0912,13.6882 
2010-04-26,8.2193,15.9276,2.0783 
2010-04-27,0.9225,12.7542,8.9756e-04 
2010-04-28,0.7531,10.1147,7.3303e-04 
2010-04-29,6.9122,15.6157,0.0278 
2010-04-30,10.2772,23.7678,0.1423 
2010-05-01,16.3097,23.3258,3.4287 
2010-05-02,16.4061,20.6978,1.8430 
2010-05-03,14.9689,20.5887,6.9175 
2010-05-04,12.2716,20.1031,0.3470 
2010-05-05,13.8071,23.4249,7.7146 
2010-05-06,9.5519,15.5208,1.3402 
2010-05-07,6.7109,12.1261,8.4514 
